,cuisine,c,restaurant_address,address
1528,80,Chinese,6,"Basavanagudi, Bangalore"
1531,85,Ice Cream,20,"Indiranagar, Bangalore"
1534,55, Shake,20,"Indiranagar, Bangalore"
1535,73,Bakery,48,"RT Nagar, Bangalore"
1537,41, Mithai,48,"RT Nagar, Bangalore"
1538,85,Ice Cream,2,"BTM, Bangalore"
1542,112,Street Food,25,"Jeevan Bhima Nagar, Bangalore"
1551,80,Chinese,56,"Seshadripuram, Bangalore"
1552,42, Momos,56,"Seshadripuram, Bangalore"
1553,101,North Indian,14,"Domlur, Bangalore"
1554,54, Seafood,14,"Domlur, Bangalore"
1555,43, Mughlai,14,"Domlur, Bangalore"
1559,106,Rolls,58,"Shivajinagar, Bangalore"
1563,93,Mangalorean,7,"Basaveshwara Nagar, Bangalore"
1574,78,Cafe,60,"St. Marks Road, Bangalore"
1581,5, BBQ,50,"Rajajinagar, Bangalore"
1582,104,Pizza,16,"Frazer Town, Bangalore"
1583,48, Pasta,16,"Frazer Town, Bangalore"
1584,11, Burger,16,"Frazer Town, Bangalore"
1587,107,Sandwich,20,"Indiranagar, Bangalore"
1588,51, Rolls,20,"Indiranagar, Bangalore"
1595,44, North Indian,64,"Vasanth Nagar, Bangalore"
1596,15, Chinese,64,"Vasanth Nagar, Bangalore"
1605,69,Arabian,2,"BTM, Bangalore"
1611,92,Maharashtrian,2,"BTM, Bangalore"
1613,88,Juices,58,"Shivajinagar, Bangalore"
1621,80,Chinese,2,"BTM, Bangalore"
1622,54, Seafood,2,"BTM, Bangalore"
1624,85,Ice Cream,24,"Jayanagar, Bangalore"
1627,9, Biryani,48,"RT Nagar, Bangalore"
1635,85,Ice Cream,42,"Nagawara, Bangalore"
1636,18, Desserts,42,"Nagawara, Bangalore"
1638,53, Sandwich,2,"BTM, Bangalore"
1639,11, Burger,2,"BTM, Bangalore"
1645,78,Cafe,0,"1 Sobha, Bangalore"
1646,11, Burger,0,"1 Sobha, Bangalore"
1647,17, Continental,0,"1 Sobha, Bangalore"
1648,8, Beverages,0,"1 Sobha, Bangalore"
1649,18, Desserts,0,"1 Sobha, Bangalore"
