,Restaurant_id,name,urls,ratings,price for one,cuisine,delivery_reviews_Count,restaurant_address,Latitude,Longtitude
57,R11,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,4.1,200, Mughlai,16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
58,R11,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,4.1,200, Beverages,16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
59,R12,Burger King,https://www.zomato.com/bangalore/burger-king-commercial-street/order,4.0,200,Burger,10500,"Commercial Street, Bangalore",12.98271712,77.60660548
60,R12,Burger King,https://www.zomato.com/bangalore/burger-king-commercial-street/order,4.0,200, Fast Food,10500,"Commercial Street, Bangalore",12.98271712,77.60660548
61,R12,Burger King,https://www.zomato.com/bangalore/burger-king-commercial-street/order,4.0,200, Desserts,10500,"Commercial Street, Bangalore",12.98271712,77.60660548
62,R12,Burger King,https://www.zomato.com/bangalore/burger-king-commercial-street/order,4.0,200, Beverages,10500,"Commercial Street, Bangalore",12.98271712,77.60660548
63,R13,Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,4.3,200,Biryani,23500,"Residency Road, Bangalore",12.97310133,77.60923974
64,R13,Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,4.3,200, Andhra,23500,"Residency Road, Bangalore",12.97310133,77.60923974
65,R13,Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,4.3,200, North Indian,23500,"Residency Road, Bangalore",12.97310133,77.60923974
66,R13,Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,4.3,200, Seafood,23500,"Residency Road, Bangalore",12.97310133,77.60923974
67,R14,Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,3.9,200,Fast Food,83,"Shivajinagar, Bangalore",12.98507028,77.60690671
68,R14,Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,3.9,200, Rolls,83,"Shivajinagar, Bangalore",12.98507028,77.60690671
69,R14,Five Star Chicken,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,3.9,200, Burger,83,"Shivajinagar, Bangalore",12.98507028,77.60690671
70,R15,Kanti Sweets,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,4.5,200,Mithai,2662,"Brigade Road, Bangalore",12.97046862,77.60667756
