Restaurant_id,Name,delivery_reviews_Count,restaurant_address,Latitude,Longtitude
R153,7 Plates,5526,"RT Nagar, Bangalore",13.02031492,77.59288902
R154,Delicacy,8466,"Frazer Town, Bangalore",12.99846318,77.61770613
R155,Aubree,315,"Shivajinagar, Bangalore",12.99024855,77.60059901
R156,Just Shawarma,694,"Indiranagar, Bangalore",12.96977923,77.63873231
R157,Keventers - Milkshakes & Desserts,782,"Garuda Mall, Magrath Road, Bangalore",12.9702092,77.60921158
R158,Cake N Chef,7673,"Bannerghatta Road, Bangalore",12.89775,77.59627
R159,Mandya Nati Style,5816,"Vijay Nagar, Bangalore",12.96906077,77.54433732
R160,Brahmins' Thatte Idli,2339,"Malleshwaram, Bangalore",13.0037895,77.5779477
R161,WOW! China,789,"Church Street, Bangalore",12.97500348,77.6048379
R162,Juice Junction,1031,"St. Marks Road, Bangalore",12.9721019,77.6012196
R163,The Dessert Heaven - Pure Veg,140,"Koramangala 6th Block, Bangalore",12.940404,77.625173
R164,Ambur Biryani Point,248,"Koramangala 8th Block, Bangalore",12.9418939,77.6154492
R165,Just Cakes,1342,"Koramangala 7th Block, Bangalore",12.92858262,77.60930814
R166,Karnataka Bhel House,4114,"Basavanagudi, Bangalore",12.95934512,77.56727591
R167,Hyderabad Biryani House,6972,"Malleshwaram, Bangalore",12.99397776,77.57151548
R168,Great Indian Khichdi by EatFit,562,"Cunningham Road, Bangalore",12.986283,77.594839
R169,99 Varieties Dosa & Pav Bhaji,5750,"BTM, Bangalore",12.91402495,77.61064153
R170,Hotel Kadamba Veg,9040,"Rajajinagar, Bangalore",12.9974957,77.5474606
R171,ibaco,296,"Brigade Road, Bangalore",12.96772871,77.60663096
R172,Ande Ka Funda,1510,"BTM, Bangalore",12.91173736,77.60354776
R173,Paratha Envy,2185,"Koramangala 6th Block, Bangalore",12.937246,77.624643
R174,Cupcake Bliss Cakes & Desserts,160,"Vasanth Nagar, Bangalore",12.99223714,77.59426799
R175,Hari Super Sandwich,9067,"BTM, Bangalore",12.91243835,77.60638621
R176,Texas Burgers,1043,"Thippasandra, Bangalore",12.9728124,77.6480545
R177,Momo Zone - The Momo Company,205,"Vasanth Nagar, Bangalore",12.99234854,77.59423614
R178,The Cake Deluxe,138,"Basavanagudi, Bangalore",12.9381798,77.5791002
R179,NH1 Bowls - Highway To North,228,"Langford Town, Bangalore",12.961168,77.598239
R180,Cafe Coffee Day,23,"Lavelle Road, Bangalore",12.9714666,77.5942005
R181,Anjappar,1413,"Brigade Road, Bangalore",12.97424582,77.60770451
R182,New Udupi Garden,7342,"Old Airport Road, Bangalore",12.95670573,77.65364137
R183,Afghani Tandoori Hub,14000,"BTM, Bangalore",12.9239805,77.6126063
R184,Natraj Chole Bhature,2469,"Indiranagar, Bangalore",12.98233259,77.63794608
R185,The Biryani Life,108,"Shanti Nagar, Bangalore",12.9618502,77.59434141
R186,Shanthi Sagar,12000,"Basaveshwara Nagar, Bangalore",12.98888982,77.53762778
R187,99 Variety Dosa & Pav Bhaji,13300,"Koramangala 6th Block, Bangalore",12.93684013,77.62756359
R188,Chinese BAE,1407,"RT Nagar, Bangalore",13.02129023,77.58473709
R189,Puliyogare Point,34600,"Basavanagudi, Bangalore",12.94073515,77.57046908
R190,Rotti Walla,12600,"Indiranagar, Bangalore",12.974159,77.635941
R191,Ayodhya Vihar Pure Veg,9107,"Jeevan Bhima Nagar, Bangalore",12.96858996,77.64909636
R192,Gowdru Hotel,36800,"Vijay Nagar, Bangalore",12.96938945,77.534329
R193,Ambur Darbar Biriyani Point,8465,"Yeshwantpur, Bangalore",13.02543741,77.56031424
R194,Kabab King Restaurant,14800,"Banashankari, Bangalore",12.9171272,77.56874945
