Restaurant_id,name,urls,ratings,price for one,cuisine
R174,Cupcake Bliss Cakes & Desserts,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-vasanth-nagar-bangalore/order,3.5,350,Bakery
R175,Hari Super Sandwich,https://www.zomato.com/bangalore/hari-super-sandwich-btm-bangalore/order,4.1,350,"Sandwich, Fast Food"
R176,Texas Burgers,https://www.zomato.com/bangalore/texas-burgers-thippasandra-bangalore/order,4,350,Burger
R177,Momo Zone - The Momo Company,https://www.zomato.com/bangalore/momo-zone-the-momo-company-vasanth-nagar-bangalore/order,3.5,150,"Chinese, Tibetan"
R178,The Cake Deluxe,https://www.zomato.com/bangalore/the-cake-deluxe-basavanagudi-bangalore/order,4.1,150,Bakery
R179,NH1 Bowls - Highway To North,https://www.zomato.com/bangalore/nh1-bowls-highway-to-north-langford-town-bangalore/order,4.5,150,"North Indian, Fast Food, Desserts, Beverages"
R180,Cafe Coffee Day,https://www.zomato.com/bangalore/cafe-coffee-day-1-lavelle-road-bangalore/order,3.3,150,"Cafe, Fast Food, Coffee, Beverages, Desserts"
R181,Anjappar,https://www.zomato.com/bangalore/anjappar-brigade-road-bangalore/order,3.9,150,"South Indian, Chettinad, Biryani, Seafood, Chinese, North Indian, Desserts, Beverages"
R182,New Udupi Garden,https://www.zomato.com/bangalore/new-udupi-garden-airport-road-bangalore/order,3.7,150,"South Indian, North Indian, Beverages, Chinese"
R183,Afghani Tandoori Hub,https://www.zomato.com/bangalore/afghani-tandoori-hub-btm-bangalore/order,3.4,150,"Afghan, Fast Food, Chinese, North Indian, Desserts, Beverages, Sichuan"
R184,Natraj Chole Bhature,https://www.zomato.com/bangalore/natraj-chole-bhature-indiranagar-bangalore/order,4.1,150,North Indian
R185,The Biryani Life,https://www.zomato.com/bangalore/the-biryani-life-shanti-nagar-bangalore/order,3.4,150,"Biryani, Kebab, Hyderabadi, Lucknowi"
R186,Shanthi Sagar,https://www.zomato.com/bangalore/shanthi-sagar-basaveshwara-nagar/order,4.1,150,"South Indian, North Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages"
R187,99 Variety Dosa & Pav Bhaji,https://www.zomato.com/bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore/order,3.8,150,"South Indian, Maharashtrian"
R188,Chinese BAE,https://www.zomato.com/bangalore/chinese-bae-rt-nagar-bangalore/order,3.7,150,"Chinese, Seafood, Momos, Sichuan"
R189,Puliyogare Point,https://www.zomato.com/bangalore/puliyogare-point-basavanagudi/order,4.4,50,"South Indian, Desserts"
R190,Rotti Walla,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore/order,3.9,50,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts"
R191,Ayodhya Vihar Pure Veg,https://www.zomato.com/bangalore/ayodhya-vihar-pure-veg-jeevan-bhima-nagar-bangalore/order,4.2,50,"North Indian, Chinese, South Indian, Beverages, Desserts, Juices, Ice Cream, Shake"
R192,Gowdru Hotel,https://www.zomato.com/bangalore/gowdru-hotel-vijay-nagar-bangalore/order,3.6,50,"Biryani, South Indian, North Indian"
R193,Ambur Darbar Biriyani Point,https://www.zomato.com/bangalore/ambur-darbar-biriyani-point-yeshwantpur/order,4,50,"Biryani, Kebab"
R194,Kabab King Restaurant,https://www.zomato.com/bangalore/kabab-king-restaurant-1-banashankari-bangalore/order,3.5,50,"Chinese, North Indian, Beverages"
R195,Donne Biriyani Mane,https://www.zomato.com/bangalore/donne-biriyani-mane-1-airport-road-bangalore/order,3.8,50,"Biryani, South Indian"
R196,Yumlane Pizza,https://www.zomato.com/bangalore/yumlane-pizza-koramangala-5th-block-bangalore/order,4,50,"Shake, Ice Cream, Pizza, Beverages, Fast Food, Desserts"
R197,New Krishna Sagar,https://www.zomato.com/bangalore/new-krishna-sagar-indiranagar/order,3.7,50,"South Indian, North Indian, Chinese, Beverages"
R198,The Cake Fancy,https://www.zomato.com/bangalore/the-cake-fancy-basavanagudi-bangalore/order,4.3,50,Bakery
R199,Siddique Kabab Centre,https://www.zomato.com/bangalore/siddique-kabab-centre-frazer-town/order,4,50,"Mughlai, Chinese, North Indian, Rolls, Sichuan"
R200,Roti-Wala.Com,https://www.zomato.com/bangalore/roti-wala-com-btm-bangalore/order,4.1,50,"North Indian, Street Food, Healthy Food, Chinese, Desserts"
R201,XO Belgian Waffle,https://www.zomato.com/bangalore/xo-belgian-waffle-koramangala-5th-block/order,4.3,150,"Desserts, Beverages, Waffle, Shake"
R202,Sri Venkateshwara Sweetmeat Stall,https://www.zomato.com/bangalore/sri-venkateshwara-sweetmeat-stall-majestic/order,4.5,150,"Mithai, Street Food, Fast Food, North Indian"
R203,Ayodhya Sagar,https://www.zomato.com/bangalore/ayodhya-sagar-basaveshwara-nagar-bangalore/order,4.1,150,"South Indian, North Indian, Chinese, Street Food, Desserts, Beverages"
R204,India Sweet House,https://www.zomato.com/bangalore/india-sweet-house-frazer-town-bangalore/order,4.1,150,"Mithai, Street Food"
R205,Sweet Truth - Cake and Desserts,https://www.zomato.com/bangalore/sweet-truth-cake-and-desserts-shanti-nagar-bangalore/order,3.3,150,Bakery
R206,Gopaljee Cafe,https://www.zomato.com/bangalore/gopaljee-cafe-koramangala-7th-block-bangalore/order,4.1,150,"Street Food, North Indian, Beverages"
R207,Mad Over Donuts,https://www.zomato.com/bangalore/mad-over-donuts-brigade-road/order,4.1,150,"Desserts, Waffle, Beverages"
R208,Muthashy's,https://www.zomato.com/bangalore/muthashys-btm-bangalore/order,4.1,150,"Kerala, South Indian, Chinese, Sichuan"
R209,Indraprastha Restaurant,https://www.zomato.com/bangalore/indraprastha-restaurant-vijay-nagar/order,4.1,150,"North Indian, Chinese, Biryani"
R210,Cream Stone Ice Cream,https://www.zomato.com/bangalore/cream-stone-ice-cream-frazer-town-bangalore/order,4.2,150,"Ice Cream, Desserts, Beverages, Shake"
R211,The Momo Co.,https://www.zomato.com/bangalore/the-momo-co-hosur-road-bangalore/order,3.9,150,"Chinese, Momos, Desserts, Beverages, Sichuan"
R212,Crusto’s - Cheese Burst Pizza,https://www.zomato.com/bangalore/crustos-cheese-burst-pizza-koramangala-6th-block-bangalore/order,4,150,Pizza
R213,Le Arabia,https://www.zomato.com/bangalore/le-arabia-basaveshwara-nagar-bangalore/order,3.7,250,"North Indian, Mughlai, Chinese, Arabian, Biryani, Beverages, Desserts, Sichuan"
