Index,Restaurant_id,C,Name,Ratings,Price for one,Cuisines,Delivery_reviews_Count,Restaurant_address,Latitude,Longtitude
515,R515,Pizza,Starboy Pizza & Shakes,3.2,150,"Pizza, Italian, Desserts, Beverages",59,"Koramangala 7th Block, Bangalore",12.93634378,77.615929
516,R516,South Indian,Mini Samrat Chalukya,4.1,150,"South Indian, North Indian, Chinese",1574,"Vasanth Nagar, Bangalore",12.99295685,77.59544715
517,R517,Fast Food,S M V Snacks Corner,4.1,150,"Fast Food, Street Food, Ice Cream, Desserts, Sichuan",432,"Basavanagudi, Bangalore",12.94900991,77.57438343
518,R518,Bakery,Just Bake - Cakes & Confectioners,3.3,150,"Bakery, Desserts",697,"BTM, Bangalore",12.92406391,77.61482242
519,R0, Biryani,Le Arabia Restaurant,3.5,250,"Arabian, Biryani, North Indian, Chinese, Fast Food, Sichuan",1892,"Vijay Nagar, Bangalore",12.95976857,77.53175978
520,R1, North Indian,Hotel Revoli Inn,3.9,250,"Chinese, North Indian, Mughlai",1862,"Shanti Nagar, Bangalore",12.95597678,77.59207126
521,R2, Desserts,Bakingo,4.2,250,"Bakery, Desserts",748,"Vasanth Nagar, Bangalore",12.9944153,77.5938201
522,R3, American,Truffles,4.3,250,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",1822,"St. Marks Road, Bangalore",12.97192841,77.60106303
523,R4, Fast Food,McDonald's,3.9,250,"Burger, Fast Food",5809,"MG Road, Bangalore",12.97602152,77.59827822
524,R5, Rajasthani,Falahaar & Kota Kachori,3.9,250,"North Indian, Rajasthani, Fast Food, Mithai, Beverages, Desserts",80800,"Koramangala 7th Block, Bangalore",12.9345831,77.6125063
525,R6, BBQ,Salt - Indian Restaurant Bar & Grill,4.1,250,"North Indian, BBQ, Biryani, Mughlai, Seafood, Beverages, Desserts",84,"UB City, Bangalore",12.97158655,77.5960585
526,R7, Chinese,Sultan - Palace Darbar Restaurant,3.4,250,"North Indian, Chinese, Arabian, Mughlai",15900,"Nagawara, Bangalore",13.01911862,77.61870492
527,R8, Italian,Domino's Pizza,3.9,250,"Pizza, Italian, Pasta, Fast Food, Desserts",8977,"Shanti Nagar, Bangalore",12.96203938,77.60159276
528,R9, Fast Food,Pizza Hut,3.8,200,"Pizza, Fast Food, Desserts, Beverages",4528,"Shanti Nagar, Bangalore",12.96232527,77.59910099
529,R10, Fast Food,KFC,3.7,200,"Burger, Fast Food, Biryani, Desserts, Beverages",468,"Brigade Road, Bangalore",12.97325955,77.60750703
530,R11, Biryani,Empire Restaurant,4.1,200,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages",16900,"Shivajinagar, Bangalore",12.97991952,77.60268677
531,R12, Fast Food,Burger King,4,200,"Burger, Fast Food, Desserts, Beverages",10500,"Commercial Street, Bangalore",12.98271712,77.60660548
532,R13, Andhra,Meghana Foods,4.3,200,"Biryani, Andhra, North Indian, Seafood",23500,"Residency Road, Bangalore",12.97310133,77.60923974
533,R14, Rolls,Five Star Chicken,3.9,200,"Fast Food, Rolls, Burger",83,"Shivajinagar, Bangalore",12.98507028,77.60690671
534,R15, Desserts,Kanti Sweets,4.5,200,"Mithai, Desserts, Street Food",2662,"Brigade Road, Bangalore",12.97046862,77.60667756
535,R16, Fast Food,Leon's Burgers & Wings,4.2,200,"Burger, Fast Food, Wraps, Street Food, Beverages",3582,"Frazer Town, Bangalore",12.99772551,77.61095837
536,R17, Pasta,Onesta,4,200,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages",56,"Mantri Square, Malleshwaram, Bangalore",12.9915865,77.5705801
537,R18, Beverages,Polar Bear,4.4,200,"Ice Cream, Beverages, Shake",4850,"Basavanagudi, Bangalore",12.94951278,77.57463489
538,R19, Sandwich,Hari Super Sandwich,3.7,200,"Fast Food, Sandwich, Street Food",1504,"Brigade Road, Bangalore",12.97059853,77.60662767
539,R20, Arabian,Al-Bek,4.1,200,"Mughlai, Arabian, North Indian, Chinese, Seafood",34400,"Malleshwaram, Bangalore",12.99435705,77.57158186
540,R21, Italian,La Pino'z Pizza,3.8,200,"Pizza, Italian",3582,"Basavanagudi, Bangalore",12.94674912,77.56933719
541,R22, Street Food,A2B - Adyar Ananda Bhavan,4.2,200,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts",801,"Shanti Nagar, Bangalore",12.9544136,77.5930683
542,R23, Desserts,Corner House Ice Creams,4.4,200,"Ice Cream, Desserts, Shake",6149,"Residency Road, Bangalore",12.97367472,77.60932188
543,R24, Andhra,Nandhana Palace,4.1,200,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages",8481,"Indiranagar, Bangalore",12.96213054,77.64194693
544,R25, North Indian,Thalassery Restaurant,4,200,"Kerala, North Indian, Chinese, Lebanese, Biryani, Ice Cream, Beverages",9178,"Kammanahalli, Bangalore",13.01504876,77.6315745
545,R26, Ice Cream,CakeZone,4.3,200,"Bakery, Ice Cream",2667,"Koramangala 6th Block, Bangalore",12.940404,77.625173
546,R27, Street Food,Goli Vada Pav No. 1,4.2,200,"Fast Food, Street Food, Maharashtrian, Rolls, Ice Cream",1117,"Jayanagar, Bangalore",12.93933465,77.58401893
547,R28, Kebab,Kabab Magic,4.2,200,"North Indian, Kebab, Hyderabadi, Mughlai, Chinese, Rolls",45200,"Basavanagudi, Bangalore",12.94006366,77.57994667
548,R29, Burger,Chicking,3.8,200,"Fast Food, Burger, Pizza",932,"Rajajinagar, Bangalore",12.9809325,77.5629622
549,R30, Healthy Food,FreshMenu,3.9,200,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",19200,"Richmond Road, Bangalore",12.964423,77.60589
550,R31, Fast Food,EasyBites by Empire,4.1,200,"Burger, Fast Food, Beverages",721,"Brigade Road, Bangalore",12.96728502,77.60896213
551,R33, Fast Food,WOW! Momo,4,250,"Momos, Fast Food, Tibetan",52,"Church Street, Bangalore",12.975141,77.603971
552,R34, Wraps,Taco Bell,3.9,250,"Mexican, Wraps, Fast Food",1732,"Garuda Mall, Magrath Road, Bangalore",12.9702177,77.61013225
553,R35, Italian,MOJO Pizza - 2X Toppings,4.4,250,"Pizza, Italian, Fast Food, Desserts, Beverages",390,"Shanti Nagar, Bangalore",12.961168,77.598239
554,R36, Fast Food,Wendy's Burgers,3.7,250,"Burger, Fast Food, American",654,"Shanti Nagar, Bangalore",12.96188385,77.59433705
555,R37, Desserts,WarmOven Cake & Desserts,3.6,250,"Bakery, Desserts, Beverages",841,"Vasanth Nagar, Bangalore",12.99221787,77.5942529
556,R38, Fast Food,Ovenstory Pizza,4.4,250,"Pizza, Fast Food",1122,"Shanti Nagar, Bangalore",12.96184465,77.59435482
557,R39, North Indian,EatFit,3.9,250,"Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages",2098,"Cunningham Road, Bangalore",12.986283,77.594839
558,R40, Chinese,Big Bite,4.2,250,"Fast Food, Chinese, Street Food, Burger, Pizza, Beverages, Ice Cream",17700,"Vijay Nagar, Bangalore",12.96748498,77.53583372
559,R41, Sandwich,Subway,3.7,250,"Healthy Food, Sandwich, Wraps, Salad, Fast Food, Desserts",1210,"UB City, Bangalore",12.97180948,77.59619884
560,R42, Fast Food,Faasos - Wraps & Rolls,3.9,250,"Rolls, Fast Food, Wraps, Desserts",868,"Shanti Nagar, Bangalore",12.9618966,77.59435851
561,R43, Street Food,Anand Sweets And Savouries,4.3,250,"Mithai, Street Food, Beverages, Desserts",2267,"Commercial Street, Bangalore",12.98164454,77.60982279
562,R44, Kebab,Mani's Dum Biryani,4.1,250,"Biryani, Kebab",5017,"Ulsoor, Bangalore",12.97736333,77.61929199
563,R45, Biryani,Nandhini Deluxe,4,250,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",2867,"St. Marks Road, Bangalore",12.97177485,77.60091349
564,R46, Mughlai,Sharief Bhai,4.1,250,"Biryani, Mughlai, Kebab, Afghan, Street Food, Beverages, Desserts",8135,"Frazer Town, Bangalore",12.9968193,77.61404391
565,R48, Tea,Samosa Party,4.4,250,"Street Food, Tea",1026,"Brigade Road, Bangalore",12.96976388,77.60903087
566,R49, Chinese,Kannur Food Point,3.7,250,"Kerala, Chinese, South Indian, Arabian, Juices, Beverages, Shake",51300,"BTM, Bangalore",12.93133766,77.60813367
567,R50, North Indian,Imperial Restaurant,4,250,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages",6016,"Residency Road, Bangalore",12.97134292,77.60578506
568,R51, North Indian,Sri Udupi Food Hub,4.2,250,"South Indian, North Indian, Chinese, Sandwich, Street Food, Ice Cream, Shake, Beverages",516,"Majestic, Bangalore",12.97813724,77.57977707
569,R52, Shake,Lassi Shop,3.1,250,"Beverages, Shake, Juices, Ice Cream, Desserts, Burger, Fast Food",45,"Residency Road, Bangalore",12.967382,77.599929
570,R53, Burger,Pizza@99,3.2,250,"Pizza, Burger, Fast Food",320,"Rajajinagar, Bangalore",12.9885796,77.548214
571,R54, Beverages,Chai Point,4,250,"Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee",1772,"Church Street, Bangalore",12.97458691,77.60661118
572,R55, Biryani,Kannur Food Kitchen,3.7,250,"South Indian, Biryani, Chinese, Arabian, Beverages, Shake",20500,"BTM, Bangalore",12.9238006,77.611265
573,R56, Fast Food,Rolls On Wheels,4.2,250,"Rolls, Fast Food, Chinese",1299,"Cunningham Road, Bangalore",12.98543464,77.59661995
574,R57, Asian,Beijing Bites,4.1,250,"Chinese, Asian, Thai, Seafood, Malaysian",4146,"Richmond Road, Bangalore",12.96549815,77.60135472
575,R58, Desserts,Kwalitywall's Frozen Dessert And Ice Cream Shop,4.2,250,"Ice Cream, Desserts",378,"Wilson Garden, Bangalore",12.95082435,77.59557255
576,R59, Desserts,Natural Ice Cream,4.6,250,"Ice Cream, Desserts, Shake",1163,"St. Marks Road, Bangalore",12.97145564,77.60085046
577,R60, Fast Food,California Burrito,4.1,250,"Mexican, Fast Food, Beverages",3937,"Sigma Mall, Cunningham Road, Bangalore",12.98795971,77.5945399
578,R61, Kebab,Behrouz Biryani,4.3,250,"Biryani, Kebab, Hyderabadi, Lucknowi",501,"Shanti Nagar, Bangalore",12.96190215,77.59432264
579,R62, Sandwich,Meat And Eat,3.9,250,"Burger, Sandwich, Fast Food, Wraps, Biryani, Beverages, Desserts",2431,"Domlur, Bangalore",12.96136456,77.6373611
580,R63, Street Food,Paakashala,4.2,250,"South Indian, Street Food, Chinese, Fast Food, Ice Cream, Beverages",1489,"MG Road, Bangalore",12.97494238,77.60797475
581,R64, Pancake,The Belgian Waffle Co.,4.1,250,"Waffle, Pancake, Desserts, Beverages",716,"Seshadripuram, Bangalore",12.98893393,77.57782403
582,R66, Biryani,Andhra Gunpowder,4.4,250,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",561,"Seshadripuram, Bangalore",12.98681,77.579384
583,R67, Chettinad,Ambur Star Briyani Since 1890,4.3,250,"Biryani, Chettinad, Chinese, North Indian",6992,"Indiranagar, Bangalore",12.97737248,77.63647791
584,R68, Biryani,Kolkata Kathi Rolls,3.9,250,"Rolls, Biryani, Chinese, North Indian, Sichuan",13400,"JP Nagar, Bangalore",12.91392821,77.58600812
585,R69, Chinese,Royal Restaurant,4,150,"North Indian, Chinese, Sichuan",25400,"Shivajinagar, Bangalore",12.98572802,77.60525431
586,R70, Momos,Chinese Wok,3.6,150,"Chinese, Momos, Sichuan",415,"Malleshwaram, Bangalore",12.99177,77.5712
587,R71, Shake,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",4,150,"Beverages, Shake, Desserts, Ice Cream",837,"Brigade Road, Bangalore",12.972896,77.607299
588,R72, Cafe,Glen's Bakehouse,4.3,150,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",5376,"Lavelle Road, Bangalore",12.96982922,77.59748127
589,R73, Desserts,Theobroma,4.3,150,"Bakery, Desserts, Beverages",1734,"Lavelle Road, Bangalore",12.97119147,77.59769274
590,R74, North Indian,Paradise Biryani,3.9,150,"Biryani, North Indian, Kebab",4370,"Rajajinagar, Bangalore",12.98494361,77.54584707
591,R75, Chinese,Sri Udupi Park,4.2,150,"South Indian, Chinese, Street Food, Beverages, North Indian, Shake",7960,"Residency Road, Bangalore",12.97305363,77.60916095
592,R76, North Indian,Krishna Vaibhava,4.2,150,"South Indian, North Indian, Mithai, Chinese, Biryani",21200,"Vijay Nagar, Bangalore",12.96740362,77.53578041
593,R77, North Indian,Dindigul Thalappakatti,3.9,150,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",2559,"MG Road, Bangalore",12.97225382,77.61873141
